source target value sign exists
CIDEA FOSB 0 0 FALSE
CIDEA SLC5A7 0 0 FALSE
CIDEA CIDEA 0 0 FALSE
GP2 C18orf42 0 0 FALSE
GP2 SERPINA3 0 0 FALSE
GP2 ADGB 0 0 FALSE
GP2 FAM92B 0 0 FALSE
GP2 AC104809_3 0 0 FALSE
GP2 CLIC6 0 0 FALSE
GP2 FAM216B 0 0 FALSE
GP2 FAM92B 0 0 FALSE
GP2 FAM92B 0 0 FALSE
GP2 FAM216B 0 0 FALSE
GP2 ADGB 0 0 FALSE
GP2 CCDC33 0 0 FALSE
GP2 AC104809_3 0 0 FALSE
GP2 NTS 0 0 FALSE
GP2 FAM216B 0 0 FALSE
GP2 FAM92B 0 0 FALSE
GP2 FAM92B 0 0 FALSE
GP2 COL6A5 0 0 FALSE
GP2 EGR1 0 0 FALSE
GP2 LINGO2 0 0 FALSE
GP2 RP11_438B23_2 0 0 FALSE
GP2 FAM216B 0 0 FALSE
GP2 FOSB 0 0 FALSE
GP2 SLC5A7 0 0 FALSE
GP2 CIDEA 0 0 FALSE
GP2 GP2 0 0 FALSE
PRSS1 C18orf42 0 0 FALSE
PRSS1 SERPINA3 0 0 FALSE
PRSS1 ADGB 0 0 FALSE
PRSS1 FAM92B 0 0 FALSE
PRSS1 AC104809_3 0 0 FALSE
PRSS1 CLIC6 0 0 FALSE
PRSS1 FAM216B 0 0 FALSE
PRSS1 FAM92B 0 0 FALSE
PRSS1 FAM92B 0 0 FALSE
PRSS1 FAM216B 0 0 FALSE
PRSS1 ADGB 0 0 FALSE
PRSS1 CCDC33 0 0 FALSE
PRSS1 AC104809_3 0 0 FALSE
PRSS1 NTS 0 0 FALSE
PRSS1 FAM216B 0 0 FALSE
PRSS1 FAM92B 0 0 FALSE
PRSS1 FAM92B 0 0 FALSE
PRSS1 COL6A5 0 0 FALSE
PRSS1 EGR1 0 0 FALSE
PRSS1 LINGO2 0 0 FALSE
PRSS1 RP11_438B23_2 0 0 FALSE
PRSS1 FAM216B 0 0 FALSE
PRSS1 FOSB 0 0 FALSE
PRSS1 SLC5A7 0 0 FALSE
PRSS1 CIDEA 0 0 FALSE
PRSS1 GP2 0 0 FALSE
PRSS1 PRSS1 0 0 FALSE
UPK1B C18orf42 0 0 FALSE
UPK1B SERPINA3 0 0 FALSE
UPK1B ADGB 0 0 FALSE
UPK1B FAM92B 0 0 FALSE
UPK1B AC104809_3 0 0 FALSE
UPK1B CLIC6 0 0 FALSE
UPK1B FAM216B 0 0 FALSE
UPK1B FAM92B 0 0 FALSE
UPK1B FAM92B 0 0 FALSE
UPK1B FAM216B 0 0 FALSE
UPK1B ADGB 0 0 FALSE
UPK1B CCDC33 0 0 FALSE
UPK1B AC104809_3 0 0 FALSE
UPK1B NTS 0 0 FALSE
UPK1B FAM216B 0 0 FALSE
UPK1B FAM92B 0 0 FALSE
UPK1B FAM92B 0 0 FALSE
UPK1B COL6A5 0 0 FALSE
UPK1B EGR1 0 0 FALSE
UPK1B LINGO2 0 0 FALSE
UPK1B RP11_438B23_2 0 0 FALSE
UPK1B FAM216B 0 0 FALSE
UPK1B FOSB 0 0 FALSE
UPK1B SLC5A7 0 0 FALSE
UPK1B CIDEA 0 0 FALSE
UPK1B GP2 0 0 FALSE
UPK1B PRSS1 0 0 FALSE
UPK1B UPK1B 0 0 FALSE
